nohup: ignoring input
 61%|██████    | 61/100 [15:17:54<7:22:41, 681.07s/it]epoch: 60	loss_train: 0.00632	loss_val: 0.00506	obj_accuracy: 1.00000	aff_accuracy: 0.99829
 62%|██████▏   | 62/100 [15:29:16<7:11:25, 681.19s/it]epoch: 61	loss_train: 0.00584	loss_val: 0.00503	obj_accuracy: 1.00000	aff_accuracy: 0.99842
 63%|██████▎   | 63/100 [15:40:36<7:00:01, 681.11s/it]epoch: 62	loss_train: 0.00595	loss_val: 0.00525	obj_accuracy: 1.00000	aff_accuracy: 0.99777
 64%|██████▍   | 64/100 [15:51:58<6:48:41, 681.15s/it]epoch: 63	loss_train: 0.00611	loss_val: 0.00543	obj_accuracy: 1.00000	aff_accuracy: 0.99807
 65%|██████▌   | 65/100 [16:03:19<6:37:20, 681.17s/it]epoch: 64	loss_train: 0.00576	loss_val: 0.00551	obj_accuracy: 1.00000	aff_accuracy: 0.99812
 66%|██████▌   | 66/100 [16:14:40<6:26:02, 681.26s/it]epoch: 65	loss_train: 0.00570	loss_val: 0.00481	obj_accuracy: 1.00000	aff_accuracy: 0.99834
 67%|██████▋   | 67/100 [16:26:02<6:14:46, 681.39s/it]epoch: 66	loss_train: 0.00559	loss_val: 0.00482	obj_accuracy: 1.00000	aff_accuracy: 0.99861
 68%|██████▊   | 68/100 [16:37:23<6:03:23, 681.36s/it]epoch: 67	loss_train: 0.00547	loss_val: 0.00516	obj_accuracy: 1.00000	aff_accuracy: 0.99822
 69%|██████▉   | 69/100 [16:48:45<5:52:00, 681.29s/it]epoch: 68	loss_train: 0.00558	loss_val: 0.00598	obj_accuracy: 1.00000	aff_accuracy: 0.99812
 70%|███████   | 70/100 [17:00:06<5:40:39, 681.30s/it]epoch: 69	loss_train: 0.00569	loss_val: 0.00559	obj_accuracy: 1.00000	aff_accuracy: 0.99790
 71%|███████   | 71/100 [17:11:27<5:29:15, 681.22s/it]epoch: 70	loss_train: 0.00519	loss_val: 0.00498	obj_accuracy: 1.00000	aff_accuracy: 0.99804
